the_geom,cartodb_id,name,benchmark_price
0106000020E61000000100000001030000000100000009000000CB54FB532EB95EC0C4CE354898A248402E5AFC7D31B95EC0593BC41E5EA3484070DDFF8D5EB85EC05216F86960A348405E12041B59B85EC04F0ED91FACA248408B52009458B85EC08CD5281CA8A24840C752FBDF57B85EC02F62E98DA4A24840198D009755B85EC0F00E3A32A0A24840670A000254B85EC01A1DA9219EA24840CB54FB532EB95EC0C4CE354898A24840,44,Glenayre,1157300
0106000020E6100000010000000103000000010000001E000000532E85EE6FB75EC0ADB5DE0C0AAE48405F3800B0B4B85EC0CF030E573DAE4840ABD0FE0F09B95EC028994121A7AD4840141BFBAB6ABB5EC06681D9B1CFAA48409F67FD778EBC5EC076F0C0BEA5A5484027BEFB5FC5BB5EC04E9AC428A1A54840B896031C46BB5EC0228877A9A6A548406457FF8CB7BA5EC0AFFE19EF58A548408C8BFE2B46BA5EC05004ABC957A548408980018C40BA5EC09D6340F67AA64840C03C85D8B0B95EC0611CB7F3D8A6484073FEFD94B0B95EC07E9E2F8B43A748406318032D55B95EC05F7CB01046A748405E57FE4230B95EC0C1A807797BA74840F53B03D921B95EC07AE0C6DA9DA74840139082E9ECB75EC0469CEB879AA74840A7D1FDFFECB75EC0FA75AFAC17A848408A4E01F632B85EC0F973C06419A84840C90B028E31B85EC035E5D04369A84840E19180EA82B75EC0FEB04A8E60A84840E19180EA82B75EC06A7B05B353A94840C80181EF32B75EC07711095352A948405D43FC0533B75EC0E2902EB274A94840B85300ADF5B65EC0FFAECF9C75A948403ED57CF0F5B65EC0AB60AF0B9AA9484072D1FB8CACB65EC0AB60AF0B9AA94840AD927EB1ADB65EC0719D563C3BAA48407E9CFE26F3B75EC0846D7A0643AA484026627C5ED2B75EC042BDF0B52DAC4840532E85EE6FB75EC0ADB5DE0C0AAE4840,53,Belcarra,0
0106000020E610000001000000010300000001000000650000002C007CA68DB45EC076DF524ADFA44840E8597B65BFB45EC0BD667FC1EAA44840999D03D3C2B45EC05CA3AB9505A548404B6EFBBBCAB45EC0FE2A9F6932A548406FB6FB4DCFB45EC09DD2874F36A54840F521FB62E7B45EC05253A25749A54840C7F07D16F0B45EC0EDADD4F53CA548409DBB7E3DF6B45EC0CFADE7D631A548400E90FD6601B55EC05FA3599722A548405FD9814A07B55EC00434F8981BA5484068AC81D611B55EC034E003A619A5484002C57E051FB55EC006B054590CA54840D2C77C4020B55EC08528FCA507A54840AC8EFBDA23B55EC0C3C4D5B702A54840A8927D6726B55EC06BC2CD1400A54840D1D6FB6C28B55EC030B1012AFFA448400B987E9129B55EC02C44A8CEFAA44840EA5A7B9F2AB55EC06AE081E0F5A4484028D903102BB55EC0C0A484A2F1A44840DB9A7CCC2AB55EC00B04C786EAA44840165CFFF02BB55EC0C5ABEE89DCA44840D09783452AB55EC00FDCDCF3D7A448404B557F2928B55EC07CF56D98D3A448401F54FBD726B55EC09DA00BF2CCA44840551900892AB55EC07E9E2F8BC3A448408D1D7D612CB55EC003E0E9DFBFA448401260817D2EB55EC08821A434BCA44840AD69FF7F33B55EC078203681B7A448402FEFFD4F36B55EC0E070B41DB2A448403BCDFA7B46B55EC0DEC7F22AC2A44840CFCFFD6A48B55EC0E363A000C4A4484092DE814B51B55EC01CCCAAF8D4A44840C5E680B055B55EC0132B8283E6A4484098A6843756B55EC0433D7D04FEA4484000E07DFA74B55EC0A8C4969A14A54840550084F687B55EC0BB9D1ABB06A54840B275FC59A4B55EC0F7DD3A2005A54840E57DFBBEA8B55EC0B8120D940CA548405843FBBBABB55EC0FE88995C10A54840B045035FAEB55EC014826E9213A548404B4F8161B3B55EC08AA4066815A548405D1A7DD4B8B55EC04E64E60217A548401078810ECAB55EC0746DDA5228A54840BD4CFB83D4B55EC063F00FDF32A5484087140324DAB55EC0BD301D633CA548407A5803EFFFB55EC07A928D6A85A54840C71CFCAB24B65EC04C3C1C34A6A5484064F2FE2631B65EC04A0DC8B9A8A54840CAD6029469B65EC08AC51451B8A548407CA7FA7C71B65EC0CD0A5E57C0A54840A6B7FDFA7AB65EC04C617348C9A54840F50F010B89B65EC0D3E0327ECCA5484062E801C196B65EC05B8F462ECDA54840C02500FF94B65EC0BB7EE27CC1A54840146B025698B65EC00A4B7EBCBEA5484069B004AD9BB65EC0E5475744A8A54840787003809BB65EC0A9EDB2A193A548409ED27FDEADB65EC050DEE8DF85A54840FCEA81C1BBB65EC0E2CF2A1297A5484033FE7DC6C5B65EC0D0507156A3A548402658FBBFD3B65EC08AB85232ADA54840A4BC7FC1E8B65EC0D5F7F102B2A548402E24FD49FEB65EC02F6564B9BAA54840C20104DE0FB75EC097A01219CEA5484008D5FEB519B75EC0831F6A15DCA54840C148FD2F36B75EC0757D7AC704A648409126FF0F47B75EC092E015DA1CA64840C33D7DA153B75EC0832691962DA6484068CC03DC5CB75EC0676F7C2F36A648402A4E7B6B5CB75EC0A2F0B82C4FA6484016B4FB1B95B75EC0AA5EE1D184A64840CCE482D08DB75EC08CA3EEDA90A6484062177FBA85B75EC08F3BBE2096A648406AD60042F7B65EC00F2772B928A74840E0C6FBABE6B75EC0910A84192AA74840A4C60060E7B75EC03F1F65C405A74840D106FDD8E6B75EC06F3B5DABF7A64840B386FF32E7B75EC04A321FCECBA54840E07E022055B75EC0DF7447D6CCA548400994032C68B65EC071A13C3D80A44840DF6A00E357B55EC074A4C8946EA448402720FD6151B55EC040404A2E77A44840379902E32AB55EC0CAE049875EA44840E1877B1320B55EC02B66C6D359A44840D7B47B8715B55EC0A880C52B5AA44840871D005009B55EC012E2E3765CA44840BC16808805B55EC05987C4B95DA448405EFE7DA5F7B45EC0AB7EBE9002A44840142F055AF0B45EC07B0A8862D5A34840A9708070F0B45EC090F16AB1C2A348405BF38005F2B45EC0AC73A99DA3A348404C338232F2B45EC0A368B3249FA348404C338232F2B45EC0ABE9388699A34840F3F10168F1B45EC0F673F15493A3484036AB8073EDB45EC0645DDC4683A3484028DC0274E5B45EC08021B3CC85A34840A295FFB9BDB45EC01E426C1B8CA34840A5520506BDB45EC02B3F3E5BE6A3484088FE01BD8DB45EC078DC8520E6A348403E7D80C58CB45EC01B736C776EA448402C007CA68DB45EC076DF524ADFA44840,46,North Shore Pt Moody,1094700
0106000020E6100000010000000103000000010000002B0000006D9904566BB65EC0B789075231A74840F6257E3971B65EC0A0351EF069A748400EA00006D9B65EC04704C2D269A748400DD87A2BF7B65EC00F2772B928A74840CB0C7E8F38B75EC0AE1CADACE5A6484071D77D8D85B75EC0E96C1A3E96A64840CCE482D08DB75EC0E5D44AF890A6484072B2813295B75EC0AA5EE1D184A648402A4E7B6B5CB75EC0A2F0B82C4FA64840FD0D7FF25CB75EC0676F7C2F36A648403EBC005E53B75EC078927C3E2DA64840B341050B10B75EC0F0D16E36CEA548408A228360FEB65EC02F6564B9BAA5484038FEFAD7E8B65EC0D5F7F102B2A54840911680A9D3B65EC03087F614ADA5484033FE7DC6C5B65EC0771F1539A3A548403314FBF4ADB65EC050DEE8DF85A54840787003809BB65EC0A9EDB2A193A54840FEF17FC39BB65EC01B901027A8A54840A9AC7D6C98B65EC0637CDAD9BEA5484054677B1595B65EC0BB7EE27CC1A5484006EA7BAA96B65EC05B8F462ECDA54840F6EA04B098B65EC03317B83CD6A5484069B004AD9BB65EC010683C53E0A5484031FA7E28A0B65EC03FF0C6BCEDA54840468280E7A4B65EC0DC666CE0F5A54840E5480436A9B65EC00ECCC0B71FA648403009FE54A8B65EC0172F924D24A64840F14BFDBCA9B65EC0EA1A56862BA64840670D7B2DAAB65EC0C9C9829130A648409BC7823EA8B65EC038F2C49C35A64840E5480436A9B65EC018A1F1A73AA64840B24005D1A4B65EC0067C025145A648409C06FB65A6B65EC050B9B2D94BA64840BD43FE57A5B65EC03531F2EC51A64840AE83FF84A5B65EC0C04881685AA64840F5477B30A7B65EC060845B0467A64840A396832C8DB65EC0C8E19BBF6CA64840F0387FF27BB65EC0B7214AA482A64840D3A9022074B65EC062EF495091A64840FA21FCAC6EB65EC07EDE1AF9B8A6484069DCFE096CB65EC0EE91EE63DCA648406D9904566BB65EC0B789075231A74840,50,Barber Street,1241600
0106000020E6100000010000000103000000010000001F0000001B397FD1ADB45EC00B5D0D7999A94840A1BAFB14AEB45EC0FD0EC9B9E2A848409AD97C9606B55EC0BD7816EF0DA84840CAE2FE2353B55EC06141EDF912A8484065EC7C2658B55EC0DA4EA5B01CA748400AA4FE5977B55EC009CC5C431DA7484042A87B3279B55EC0A2F0B82C4FA6484091E702B0E4B55EC00B7D4D6252A648404F1F0578E0B55EC078B306EF2BA748406D9904566BB65EC010BB636F31A74840F6257E3971B65EC0A0351EF069A74840A3E17B1CD9B65EC0A0351EF069A74840FE177C58F7B65EC00F2772B928A74840A7D1FDFFECB75EC0446D3C542AA74840B691FCD2ECB75EC0469CEB879AA74840A7D1FDFFECB75EC0A144538F17A848408A4E01F632B85EC0F973C06419A84840C90B028E31B85EC0DCB3742669A848404C5005D482B75EC0FEB04A8E60A848404C5005D482B75EC06A7B05B353A948406C03FBD832B75EC07711095352A94840C80181EF32B75EC0E2902EB274A9484023128596F5B65EC0FFAECF9C75A94840A99301DAF5B65EC0E1A868EE99A9484072D1FB8CACB65EC0E1A868EE99A94840AD927EB1ADB65EC0719D563C3BAA48406FDCFF53F3B75EC0846D7A0643AA484091200148D2B75EC042BDF0B52DAC4840F62FFFD76FB75EC0ADB5DE0C0AAE4840C015FD5FBDB45EC07724EA47BBAD48401B397FD1ADB45EC00B5D0D7999A94840,52,Anmore,0
0103000020E6100000010000002F0000000000002C46BA5EC0AA4C52D857A548400000808E45BA5EC0071BB5D477A548400000203A45BA5EC0CE376AA889A54840FFFF5FBE44BA5EC0A61737CAA1A54840FFFFFF6944BA5EC043136712B3A548400000E04D44BA5EC0A760B849B8A548400000E0F343BA5EC00A1A2610CCA548400000409443BA5EC02FECAD67DEA548400000E03F43BA5EC0B7AB0EE3EFA54840000080EB42BA5EC0AEB0476C00A648400100809142BA5EC0C9E18DD111A648400000C04242BA5EC017BC29AC23A64840FFFF7FDD41BA5EC02C4B417237A64840FFFFDF7D41BA5EC0C853E3964AA648400000A01841BA5EC055EA082B60A648400000A09140BA5EC0BCB999FD7AA648400000407C2EBA5EC0CCE906CC86A64840000080F619BA5EC078ECE94394A648400000C01EDFB95EC00686E8BFBAA64840FFFF1FDEB0B95EC0452F5C02D9A648400000A09AB0B95EC025A52B8B43A748400000002D55B95EC0CEB3A81046A748400000004330B95EC0B21CB5717BA748400000009529B95EC0B17489848BA74840FFFFFF4023B95EC0AA5B9C969AA748400000A0DE21B95EC002976FE99DA74840000040E511B95EC045D217B69DA74840000080A9C2B85EC0CA5D0DDA9CA74840FFFFDFA872B85EC08F9058059CA74840000000D3ECB75EC04DAC468F9AA74840FFFFFFFFECB75EC0A5B1905B2AA748400000A0B1E6B75EC0E0E03A542AA74840FFFF9F65E7B75EC08E6A10E905A74840010020F5E6B75EC006143E90FAA64840000040E4E6B75EC0D4E7695BF8A64840000040E4E6B75EC0EEF0CA93EBA64840FFFFDFE9E6B75EC04B600D98DDA64840000040E4E6B75EC021D56470D9A64840FFFFDFE9E6B75EC0BF8CC784CDA64840000080EFE6B75EC05F15BFD8B4A6484000000006E7B75EC07F0F012271A64840FFFFFF32E7B75EC00488C29ACBA54840FFFFBF56F4B75EC0EA84BA58CBA54840FFFF9F9304B85EC00DB600DCCAA548400000C0782BB95EC03263D609C4A54840FFFFFF67DDB95EC07C0671B458A548400000002C46BA5EC0AA4C52D857A54840,56,Ioco,0
0106000020E61000000100000001030000000100000018000000F521FB62E7B45EC05253A25749A548400B9B7DF5E3B45EC001380F8A5AA548401E188214E3B45EC06012DB9B67A5484044907BA1DDB45EC0EF98B2BA72A54840D983FF63D7B45EC0F8CE1E1E78A548405FB78453D1B45EC0FB3989317EA54840B2300232CDB45EC0FFB3A4AB8DA5484095EF7CB3CBB45EC01DE1F6FC97A54840AF250592C7B45EC0941051F1A4A54840BC197FECBFB45EC0AEBB79AAC3A54840A6917D2DBBB45EC0E219D93ADDA54840201001EABAB45EC0C89EDA6CEEA548409F8A021AB8B45EC0CB436CD1FEA54840FCC70058B6B45EC05092E84406A648401480FB11B1B45EC003F5A07F06A6484061BE8255B1B45EC0A8E5A483B7A54840E53B00FB8BB45EC01F3791D3B6A54840C7BB02558CB45EC0899ECEF496A548406A7E04178EB45EC06FF1CF901AA548402C007CA68DB45EC076DF524ADFA44840E8597B65BFB45EC01798DBDEEAA448402EDF7EE9C2B45EC08C20632806A54840B62C80A5CAB45EC0FE2A9F6932A54840F521FB62E7B45EC05253A25749A54840,47,Mountain Meadows,1064400
0106000020E6100000010000000103000000010000001C0000001480FB11B1B45EC05C26FD9C06A64840FCC70058B6B45EC05092E84406A64840A370035FCDB45EC003F5A07F06A6484033B60002D0B45EC02DA9450A06A64840D67802C4D1B45EC0FD2B8E7705A648402B0CFC6EDBB45EC0C349160702A648404E637B2DE8B45EC05BECD54BFCA548401E417D0DF9B45EC0425B31D0F3A5484037868418FDB45EC0CC3899FAF1A54840EC13824D04B55EC097F2CE5FF0A54840019C830C09B55EC0D9FB01CDEFA548409DA5010F0EB55EC0322D5EEAEFA5484059FF00CE3FB55EC0D46C1616F9A548404B68FDF355B55EC061B5E853FDA54840CBFC7AF060B55EC04E296D79FEA54840BA0C83226BB55EC019E1B396FEA54840891E008A74B55EC0BAE64471FDA54840AAA9FACF79B55EC002BB792EFCA548407662834377B55EC009CC5C431DA74840D0AA011058B55EC0801D49931CA74840CAE2FE2353B55EC06141EDF912A848400698018006B55EC0BD7816EF0DA84840A1BAFB14AEB45EC03357829CE2A84840833AFE6EAEB45EC05DB60852CAA7484065BA00C9AEB45EC083452CFF2DA7484056FA01F6AEB45EC0244821A0ADA6484065BA00C9AEB45EC0F001D3CC87A648401480FB11B1B45EC05C26FD9C06A64840,48,Heritage Woods PM,1616700
0106000020E61000000100000001030000000100000064000000AD66001C79B55EC0A2F0B82C4FA6484091E702B0E4B55EC00B7D4D6252A648404F1F0578E0B55EC078B306EF2BA748406D9904566BB65EC010BB636F31A7484069DCFE096CB65EC0CBA84B29DCA64840FA21FCAC6EB65EC024ADBEDBB8A64840D3A9022074B65EC0BC20A66D91A648404C3705097CB65EC01053A6C182A648404798FD158DB65EC0C8E19BBF6CA648406006001AA7B65EC060845B0467A64840AE83FF84A5B65EC0E33124A35AA64840BD43FE57A5B65EC03531F2EC51A648409C06FB65A6B65EC0F78756BC4BA64840B24005D1A4B65EC0067C025145A64840E5480436A9B65EC071D24DC53AA648403009FE54A8B65EC002AA0BBA35A64840D3CBFF16AAB65EC07098267430A64840F14BFDBCA9B65EC0434CB2A32BA648403009FE54A8B65EC0CA914A8824A64840E5480436A9B65EC00ECCC0B71FA648402149FF81A8B65EC01EEFC0C616A64840900302DFA5B65EC00C1E4BC400A64840B24005D1A4B65EC03598C8FDF5A548408DF8043FA0B65EC03FF0C6BCEDA5484075B3FD339CB65EC07BF6BFD0E1A54840F6EA04B098B65EC02783A3E4D5A5484062E801C196B65EC00EF2FE68CDA5484004D0FFDD88B65EC0D3E0327ECCA54840B577FCCD7AB65EC04C617348C9A54840CAD6029469B65EC08AC51451B8A5484073B2FDF930B65EC098AA0F7FA8A54840A99CFE0525B65EC0228877A9A6A548406B98041C00B65EC07A928D6A85A54840A59400CAD9B55EC0FF3950D03BA54840AE8CFCB0D4B55EC063F00FDF32A54840B91803EBB8B55EC083AC9FE516A54840BF050232AEB55EC06DB3CAAF13A54840E57DFBBEA8B55EC0B8120D940CA54840B275FC59A4B55EC09EACDE0205A54840DB81003A88B55EC0F1E5D39D06A5484000E07DFA74B55EC0A8C4969A14A548402DE8FF4D56B55EC0E90B21E7FDA44840C5E680B055B55EC0132B8283E6A44840831E837851B55EC0CE2E6333D5A44840CFCFFD6A48B55EC08A3244E3C3A448408BED836636B55EC0AB28FB3AB2A448401828846933B55EC02B83EEBBB7A44840A7A1FC932EB55EC08821A434BCA44840551900892AB55EC07E9E2F8BC3A448407B5281EE26B55EC09DA00BF2CCA448405A157EFC27B55EC0B23D277BD3A44840C1D784722AB55EC0680D3911D8A44840725A85072CB55EC0C5ABEE89DCA44840DB9A7CCC2AB55EC058A10E4CEAA4484028D903102BB55EC072073DDDF1A44840EA5A7B9F2AB55EC06AE081E0F5A448402DD5818328B55EC030B1012AFFA448400491037E26B55EC0129171F7FFA44840088D81F123B55EC06A93799A02A548402EC6025720B55EC02CF79F8807A5484002C57E051FB55EC0B8120D940CA5484059EC820312B55EC034E003A619A548405019837707B55EC00434F8981BA54840794E825001B55EC0B9D4B5B422A54840233DFB80F6B45EC0C319D37E31A5484023EF032DF0B45EC0EDADD4F53CA5484060E07F4CE7B45EC0AB84FE7449A54840775902DFE3B45EC05B696BA75AA548401E188214E3B45EC06012DB9B67A54840A08E01B8DDB45EC048CA0ED872A5484053028320D7B45EC0C286653B78A5484003B9FE3CD1B45EC0D750E6F67DA54840B2300232CDB45EC0A682488E8DA5484095EF7CB3CBB45EC01DE1F6FC97A54840446780A8C7B45EC03BDFF4D3A4A54840BC197FECBFB45EC0AEBB79AAC3A5484011500217BBB45EC0BF303600DDA54840201001EABAB45EC0C89EDA6CEEA5484034CC7D30B8B45EC0CB436CD1FEA5484091097C6EB6B45EC05092E84406A6484094B0048CCDB45EC003F5A07F06A6484003B9FE3CD1B45EC0211531B205A648401C4CFD9BDBB45EC0C349160702A64840542B7E19EDB45EC05C1B2AC6F9A54840C5FFFC42F8B45EC018A78C45F4A54840F907FCA7FCB45EC07E9B5135F2A54840A292005603B55EC0BADB719AF0A54840019C830C09B55EC0322D5EEAEFA548409DA5010F0EB55EC0322D5EEAEFA54840493B035D1AB55EC0256AF517F2A5484034DCFC962BB55EC0ACE9B44DF5A54840B05E7FF150B55EC05BECD54BFCA54840A766830A56B55EC007848C36FDA54840467BFEAC60B55EC04E296D79FEA5484002C27FA164B55EC019E1B396FEA54840E74C7F9B6AB55EC019E1B396FEA54840D79BFFF472B55EC06C49FDABFDA5484098DEFE5C74B55EC06C49FDABFDA54840AAA9FACF79B55EC05BECD54BFCA54840AD66001C79B55EC0A2F0B82C4FA64840,49,Heritage Mountain,1546700
0106000020E6100000010000000103000000010000003D0000008A58829431B95EC0593BC41E5EA3484019D2FABE2CB95EC086EAA4C61DA548401A75843E1EB95EC09AB4258223A548400DE57E6614B95EC07B6541D526A54840F55180070AB95EC00FA869DD27A548401C7C8240FEB85EC0B6760DC027A548404B9E8060EDB85EC0F2B62D2526A548408A5B81F8EBB85EC06A081A7525A5484006E102B7CBB85EC04BD9D8DB1CA548404B8B0296BFB85EC09F6E87231BA54840F42B8472AEB85EC09F6E87231BA54840B18882959AB85EC06EC27B161DA54840EF6A7F8889B85EC09747CC261FA548402E4D7C7B78B85EC02363393224A54840D9B982D06EB85EC04AB935C828A5484093597BA75BB85EC0EC9E238F33A54840BE7FFB534DB85EC06BF727C83AA548400AE37EF23DB85EC0D9F204A140A54840E0C3FC472CB85EC0789AED8644A54840C434807524B85EC04EE648FC44A5484069D983DE15B85EC0832E02DF44A5484061F7042603B85EC05BA9B1CE42A5484090190346F2B75EC0D0BC983D3BA54840650900C8E8B75EC0A9669CA736A54840E57482CBDDB75EC089375B0E2EA548401C6681D9B1B75EC0510F973D05A548406AE38044B0B75EC0FED5A1A203A5484043DE7A66ACB75EC072BA3497FEA4484054807BE09BB75EC04ACFF412E3A4484033F5809A96B75EC085FE74C9D9A4484043A600418EB75EC0DC6B397EC5A44840D5DC7EB788B75EC057934CF3B3A44840FA15001D85B75EC0831D18A3A2A448407990014D82B75EC0D390868D91A448404D8F7DFB80B75EC0CC2E52077DA448406ECC80ED7FB75EC0942012746AA448409EC982B27EB75EC01B3604A657A44840554801BB7DB75EC02302A30547A44840E84A04AA7FB75EC0F044F74941A44840F9247F498DB75EC034006D0E04A44840833E057E9CB75EC0CB157BBBE7A34840A9DBFA6587B75EC081787ECDC9A34840487D82599BB75EC05869BDA5BDA348405E058418A0B75EC060EA4207B8A34840924CFBA4A2B75EC0627361E6B3A34840910D837DA4B75EC07788FB9FAEA34840D0CA8315A3B75EC0E83E4A3668A3484068C90478A2B75EC0439CB94D59A34840A0CD8150A4B75EC014EF5B084DA34840B2AEFAF191B75EC0D90AF54F4BA348401971016894B75EC0C52D3075A1A248409BDA84413AB85EC0CA9C7818A4A24840E7B4FA2C47B85EC03F5DD54090A24840198D009755B85EC096DDDD14A0A24840B892FC0C58B85EC02F62E98DA4A248405E12041B59B85EC0D34DA42CAAA248405B55FECE59B85EC06E90A4FFC0A24840FE1700915BB85EC0EB44F6FFF9A24840351C7D695DB85EC085E8947036A34840611D01BB5EB85EC05216F86960A348408A58829431B95EC0593BC41E5EA34840,45,College Park,1177600
0106000020E6100000010000000103000000010000005D000000DAACFA5CEDB45EC00A2C802983A3484028DC0274E5B45EC08021B3CC85A3484017507F28DEB45EC0AF71052D87A34840767EFE39D4B45EC001ABFAC788A34840222A7DB6C8B45EC0E35D05638AA3484037D77AD0BDB45EC0C41010FE8BA3484084150214BEB45EC07954801836A3484019577D2ABEB45EC029A168DC23A348408158FCC7BEB45EC0657F4D940CA34840AA8DFBA0B8B45EC00B4EF1760CA348409BCDFCCDB8B45EC0C888B8F7F8A24840863CFEE284B55EC0B8855BFCF5A24840E33A84F984B55EC001B45A1EF3A248405071FB690CB65EC05AE5B63BF3A248401471001E0DB65EC0716B1CFBA3A248409BDDFF6C90B65EC03BF6FDE5A4A248401971016894B75EC013CB773AA1A24840B2AEFAF191B75EC0D90AF54F4BA3484044CFFB39A4B75EC0BBBDFFEA4CA3484068C90478A2B75EC0F6FE718859A34840650CFF2BA3B75EC09BA1027168A34840910D837DA4B75EC012C38A2AAEA34840C10A8542A3B75EC099E87FFBB2A34840E486005CA0B75EC0FB24D291B7A34840EC7EFC429BB75EC0FE376188BDA34840A9DBFA6587B75EC081787ECDC9A34840ADC1FBAA9CB75EC072E41E9EE7A34840552305608DB75EC034006D0E04A44840409B03A188B75EC0FFC9A5121AA448407D8C7FC07FB75EC08B7F86D440A44840F8497BA47DB75EC0D6645B4047A44840118F82AF81B75EC0784E8AC189A448407990014D82B75EC0D390868D91A448402756FC9584B75EC0CC1EB292A0A44840409B03A188B75EC04BFF379BB3A448400CA283688CB75EC0B642A21AC0A44840C9277D848EB75EC0BE4BA94BC6A4484021787C7B97B75EC0AD83C5D9DBA44840DBDCFBC8ABB75EC037A968ACFDA448405B238271B0B75EC0B1385ADD03A548404D8C7E97C6B75EC0530094D818A548407AB6FDE1DDB75EC0E268B72B2EA54840650900C8E8B75EC04F35408A36A54840169B7F89F2B75EC029EEF45A3BA54840B4AFFA2BFDB75EC0AA754D0E40A5484061F7042603B85EC0027855B142A54840AE8383BD09B85EC03D89219C43A5484069D983DE15B85EC0832E02DF44A548405876FB8B24B85EC04EE648FC44A548403DC2825E2CB85EC01E69916944A54840846102AF3DB85EC0322461BE40A548401A7E816A4DB85EC0A03FE1AA3AA54840AD8F038657B85EC06D55D0BC35A54840C91E80585FB85EC01C4B2F9C31A548405973FC276AB85EC07FD29A302BA54840E1C0FDE371B85EC087F9552D27A5484010CD7ED578B85EC0CA31DD1424A54840EF6A7F8889B85EC09747CC261FA548408B4F01309EB85EC0987620A11CA54840F42B8472AEB85EC09F6E87231BA548405A4B0169BFB85EC09F6E87231BA548408C627FFACBB85EC04BD9D8DB1CA54840991B80CBEBB85EC011D7BD5725A548404B9E8060EDB85EC09985D10726A54840B0BDFD56FEB85EC0B6760DC027A548408A93FB1D0AB95EC0B6760DC027A548406AE3047D14B95EC07B6541D526A5484065357E5D1DB95EC017CF24DA23A548401984036B26B95EC084BB504C20A5484019D2FABE2CB95EC086EAA4C61DA5484049CFFC832BB95EC02BD67802C4A548409165FB6FA9B85EC0DC09DDC2C6A54840CD1DFD2F17B85EC039D5F76DCAA5484009D3FF8BCAB75EC0207E7A43CCA54840E07E022055B75EC08543EBB8CCA548400994032C68B65EC071A13C3D80A44840DF6A00E357B55EC074A4C8946EA448402720FD6151B55EC0E70EEE1077A44840FDB2836339B55EC0FB413C9667A44840379902E32AB55EC0CAE049875EA448404C4600FD1FB55EC0F61D0DF159A448404273007115B55EC001B221495AA44840871D005009B55EC012E2E3765CA4484027D5047205B55EC05987C4B95DA448408642FCAAF9B45EC05D3C93680FA44840533AFD45F5B45EC060E213DBF2A34840B8307F43F0B45EC0C9A7CF27D5A34840142F055AF0B45EC037C00E94C2A34840D57104C2F1B45EC0DED68AF4AAA348404C338232F2B45EC0AEFCC77C9FA348404C338232F2B45EC0ABE9388699A3484096F37B51F1B45EC09D42953793A34840DAACFA5CEDB45EC00A2C802983A34840,43,Port Moody Centre,1045800
0103000020E610000001000000250000000000205BB1B45EC02FF9F58AB7A5484000006039B1B45EC0D271A2ADE3A548400000C006B1B45EC020214B7806A6484000008039AFB45EC0F232464C06A64840000040C6ADB45EC01C984D8E06A6484000006050A9B45EC03C6C972706A64840FFFF7F42A6B45EC05E82F25A06A64840FFFFDFD7A1B45EC04FB6E3D605A64840000040CA9AB45EC05326F78B03A64840000080E995B45EC0FB3EAF0D01A648400000004A88B45EC0C59010A8F8A548400000E0BD7FB45EC03A06B17EF2A54840010040C176B45EC05916F20BECA548400100607872B45EC00E07ECFAE8A54840FFFF9F106DB45EC02B7F8274E5A54840FFFF5F3E61B45EC0BDABECA8DDA54840FFFF7F8D5BB45EC01EDECFE7D9A54840000000D15BB45EC0FA477CF6D9A548400000A0C053B45EC029AE85B0D4A548400000E09949B45EC046DB07D7CDA54840FFFF5F1044B45EC0B0A4E815CAA54840FFFF5F543CB45EC007DF67F5C5A54840FFFF5FFD38B45EC0EE502F27C4A54840010020CE2FB45EC06DDB84BCBEA54840FFFFDF1F2DB45EC018B2FD28BDA548400000C09B2BB45EC0D0A4EA8EBCA548400000C0C82BB45EC0C87AB84AB0A548400000E03E2CB45EC0E4C0080A96A54840010020C835B45EC001776A6996A548400000805647B45EC00E9BC38696A54840FFFFBF3654B45EC00B2D709596A54840FFFFDF7360B45EC0EF0773AB96A54840000060BC6AB45EC0E350C9B296A548400000C0ED7EB45EC0967422D096A548400000A05A8CB45EC0474F25E696A54840000060F58BB45EC0B40AE0DAB6A548400000205BB1B45EC02FF9F58AB7A54840,55,Westwood Summit,0
